[Parsed_ebur128_0 @ 0x7f795b7078c0] t: 6.599979   TARGET:-23 LUFS    M: -16.3 S: -17.4     I: -18.5 LUFS       LRA:   3.1 LU  FTPK: -11.1  -9.8 dBFS  TPK:  -3.1  -4.2 dBFS
[Parsed_ebur128_0 @ 0x7f795b7078c0] t: 6.699979   TARGET:-23 LUFS    M: -15.8 S: -17.3     I: -18.4 LUFS       LRA:   3.3 LU  FTPK: -11.4  -9.6 dBFS  TPK:  -3.1  -4.2 dBFS
[Parsed_ebur128_0 @ 0x7f795b7078c0] t: 6.799979   TARGET:-23 LUFS    M: -16.8 S: -17.2     I: -18.4 LUFS       LRA:   3.4 LU  FTPK: -12.1 -11.1 dBFS  TPK:  -3.1  -4.2 dBFS
[Parsed_ebur128_0 @ 0x7f795b7078c0] t: 6.899979   TARGET:-23 LUFS    M: -18.1 S: -17.2     I: -18.4 LUFS       LRA:   3.5 LU  FTPK: -14.6 -13.7 dBFS  TPK:  -3.1  -4.2 dBFS
[Parsed_ebur128_0 @ 0x7f795b7078c0] t: 6.999979   TARGET:-23 LUFS    M: -18.5 S: -17.1     I: -18.4 LUFS       LRA:   3.6 LU  FTPK: -13.7 -13.0 dBFS  TPK:  -3.1  -4.2 dBFS
[Parsed_ebur128_0 @ 0x7f795b7078c0] t: 7.099979   TARGET:-23 LUFS    M: -19.0 S: -17.0     I: -18.4 LUFS       LRA:   3.6 LU  FTPK: -14.2 -14.0 dBFS  TPK:  -3.1  -4.2 dBFS
[Parsed_ebur128_0 @ 0x7f795b7078c0] t: 7.199979   TARGET:-23 LUFS    M: -19.3 S: -17.0     I: -18.4 LUFS       LRA:   3.7 LU  FTPK: -15.0 -15.2 dBFS  TPK:  -3.1  -4.2 dBFS
[Parsed_ebur128_0 @ 0x7f795b7078c0] t: 7.299979   TARGET:-23 LUFS    M: -17.4 S: -16.8     I: -18.4 LUFS       LRA:   3.8 LU  FTPK:  -5.9  -5.7 dBFS  TPK:  -3.1  -4.2 dBFS
[Parsed_ebur128_0 @ 0x7f795b7078c0] t: 7.399979   TARGET:-23 LUFS    M: -16.6 S: -16.7     I: -18.3 LUFS       LRA:   3.8 LU  FTPK:  -7.8  -7.2 dBFS  TPK:  -3.1  -4.2 dBFS
[Parsed_ebur128_0 @ 0x7f795b7078c0] t: 7.499979   TARGET:-23 LUFS    M: -15.7 S: -16.5     I: -18.3 LUFS       LRA:   3.9 LU  FTPK:  -7.9  -7.7 dBFS  TPK:  -3.1  -4.2 dBFS
[Parsed_ebur128_0 @ 0x7f795b7078c0] t: 7.599979   TARGET:-23 LUFS    M: -15.1 S: -16.4     I: -18.2 LUFS       LRA:   4.1 LU  FTPK:  -9.2  -7.9 dBFS  TPK:  -3.1  -4.2 dBFS
[Parsed_ebur128_0 @ 0x7f795b7078c0] t: 7.699979   TARGET:-23 LUFS    M: -15.5 S: -16.3     I: -18.2 LUFS       LRA:   4.2 LU  FTPK:  -9.8  -8.4 dBFS  TPK:  -3.1  -4.2 dBFS
[Parsed_ebur128_0 @ 0x7f795b7078c0] t: 7.799979   TARGET:-23 LUFS    M: -15.9 S: -16.2     I: -18.1 LUFS       LRA:   4.4 LU  FTPK: -10.3  -9.7 dBFS  TPK:  -3.1  -4.2 dBFS
[Parsed_ebur128_0 @ 0x7f795b7078c0] t: 7.899979   TARGET:-23 LUFS    M: -16.8 S: -16.6     I: -18.1 LUFS       LRA:   4.4 LU  FTPK: -12.3 -11.8 dBFS  TPK:  -3.1  -4.2 dBFS
[Parsed_ebur128_0 @ 0x7f795b7078c0] t: 7.999979   TARGET:-23 LUFS    M: -17.7 S: -16.9     I: -18.1 LUFS       LRA:   4.2 LU  FTPK: -14.3 -13.3 dBFS  TPK:  -3.1  -4.2 dBFS
[Parsed_ebur128_0 @ 0x7f795b7078c0] t: 8.099979   TARGET:-23 LUFS    M: -18.8 S: -17.1     I: -18.1 LUFS       LRA:   4.2 LU  FTPK: -16.8 -14.2 dBFS  TPK:  -3.1  -4.2 dBFS
[Parsed_ebur128_0 @ 0x7f795b7078c0] t: 8.199979   TARGET:-23 LUFS    M: -18.3 S: -17.2     I: -18.1 LUFS       LRA:   4.2 LU  FTPK:  -7.7  -7.0 dBFS  TPK:  -3.1  -4.2 dBFS
[Parsed_ebur128_0 @ 0x7f795b7078c0] t: 8.299979   TARGET:-23 LUFS    M: -17.7 S: -17.2     I: -18.1 LUFS       LRA:   4.2 LU  FTPK:  -9.7  -9.4 dBFS  TPK:  -3.1  -4.2 dBFS
[Parsed_ebur128_0 @ 0x7f795b7078c0] t: 8.399979   TARGET:-23 LUFS    M: -17.3 S: -17.1     I: -18.1 LUFS       LRA:   4.2 LU  FTPK: -10.3 -10.1 dBFS  TPK:  -3.1  -4.2 dBFS
[Parsed_ebur128_0 @ 0x7f795b7078c0] t: 8.499979   TARGET:-23 LUFS    M: -16.8 S: -17.2     I: -18.1 LUFS       LRA:   4.2 LU  FTPK:  -9.9 -10.0 dBFS  TPK:  -3.1  -4.2 dBFS
[Parsed_ebur128_0 @ 0x7f795b7078c0] t: 8.599979   TARGET:-23 LUFS    M: -17.8 S: -17.2     I: -18.1 LUFS       LRA:   4.2 LU  FTPK: -14.8 -14.4 dBFS  TPK:  -3.1  -4.2 dBFS
